model_name,train_run_id,best_val_acc,seed
baseline_fe_off,2025-10-19_23-03-56,0.6744,42
baseline_fe_on,2025-10-20_22-51-45,0.7209,42
solid_fe_off,2025-10-22_01-26-22,0.7667,42
solid_fe_on,2025-10-22_02-19-11,0.8667,42
