2025-11-07 02:39:39,839 - INFO - Iniciando entrenamiento en cuda | model=solid_fe_on_1 | seed=42 | run_id=2025-11-07_02-39-39
2025-11-07 02:39:39,880 - INFO - epoch,train_loss,train_acc,val_loss,val_acc
2025-11-07 02:40:11,892 - INFO - 1,0.7440,0.5257,0.6763,0.6129
2025-11-07 02:40:43,679 - INFO - 2,0.5523,0.7486,0.6470,0.6774
2025-11-07 02:41:16,098 - INFO - 3,0.4652,0.8229,0.6693,0.5806
2025-11-07 02:41:47,345 - INFO - 4,0.3983,0.8914,0.5659,0.7097
2025-11-07 02:42:19,586 - INFO - 5,0.3464,0.9200,0.5518,0.8065
2025-11-07 02:42:52,269 - INFO - 6,0.2950,0.9486,0.4646,0.8065
2025-11-07 02:43:24,163 - INFO - 7,0.3024,0.9429,0.4656,0.8387
2025-11-07 02:43:56,565 - INFO - 8,0.2675,0.9714,0.4878,0.8387
2025-11-07 02:44:28,975 - INFO - 9,0.2394,0.9943,0.5745,0.7419
2025-11-07 02:45:00,253 - INFO - 10,0.2360,1.0000,0.5184,0.7742
2025-11-07 02:45:32,932 - INFO - 11,0.2257,1.0000,0.5042,0.8065
2025-11-07 02:46:05,172 - INFO - 12,0.2208,1.0000,0.4440,0.8710
2025-11-07 02:46:37,336 - INFO - 13,0.2225,1.0000,0.4913,0.8065
2025-11-07 02:47:10,186 - INFO - 14,0.2143,1.0000,0.6322,0.6774
2025-11-07 02:47:42,244 - INFO - 15,0.2174,1.0000,0.4206,0.8710
2025-11-07 02:48:14,734 - INFO - 16,0.2149,1.0000,0.5315,0.8065
2025-11-07 02:48:46,774 - INFO - 17,0.2203,1.0000,0.4388,0.8387
2025-11-07 02:49:18,252 - INFO - 18,0.2140,1.0000,0.6004,0.6774
2025-11-07 02:49:50,162 - INFO - 19,0.2102,1.0000,0.4396,0.8710
2025-11-07 02:50:22,053 - INFO - 20,0.2089,1.0000,0.4881,0.8387
2025-11-07 02:50:53,150 - INFO - 21,0.2083,1.0000,0.5016,0.8387
2025-11-07 02:51:24,916 - INFO - 22,0.2116,1.0000,0.4575,0.8710
2025-11-07 02:51:57,802 - INFO - 23,0.2070,1.0000,0.5518,0.7742
2025-11-07 02:52:29,380 - INFO - 24,0.2090,1.0000,0.4182,0.8710
2025-11-07 02:53:00,698 - INFO - 25,0.2059,1.0000,0.4782,0.8387
2025-11-07 02:53:31,554 - INFO - 26,0.2063,1.0000,0.4557,0.8387
2025-11-07 02:54:03,742 - INFO - 27,0.2032,1.0000,0.4732,0.9032
2025-11-07 02:54:36,314 - INFO - 28,0.2044,1.0000,0.5071,0.8065
2025-11-07 02:55:09,711 - INFO - 29,0.2053,1.0000,0.4709,0.9032
2025-11-07 02:55:42,845 - INFO - 30,0.2027,1.0000,0.4844,0.8387
2025-11-07 02:56:15,390 - INFO - 31,0.2036,1.0000,0.4869,0.9032
2025-11-07 02:56:54,442 - INFO - 32,0.2035,1.0000,0.4746,0.9032
2025-11-07 02:57:33,872 - INFO - 33,0.2038,1.0000,0.4627,0.8710
2025-11-07 02:58:12,572 - INFO - 34,0.2019,1.0000,0.5035,0.8387
2025-11-07 02:58:51,280 - INFO - 35,0.2024,1.0000,0.4891,0.8065
2025-11-07 02:59:29,894 - INFO - 36,0.2034,1.0000,0.4767,0.8710
2025-11-07 03:00:10,519 - INFO - 37,0.2031,1.0000,0.4903,0.8387
2025-11-07 03:00:47,344 - INFO - 38,0.2023,1.0000,0.4895,0.8387
2025-11-07 03:01:25,538 - INFO - 39,0.2034,1.0000,0.4765,0.9032
2025-11-07 03:02:05,231 - INFO - 40,0.2020,1.0000,0.4721,0.8387
2025-11-07 03:02:42,880 - INFO - 41,0.2031,1.0000,0.5192,0.8710
2025-11-07 03:03:22,715 - INFO - 42,0.2029,1.0000,0.4854,0.8710
2025-11-07 03:03:22,745 - INFO - best_val_acc,0.9032
