real,predicho,probabilidad_robo,probabilidad_no_robo
0,1,0.999985,1.5042756e-05
0,0,2.796146e-05,0.999972
0,0,0.09978869,0.9002113
0,1,0.9965702,0.0034297586
0,1,0.9219109,0.07808915
0,0,0.070778124,0.92922187
0,1,0.9924426,0.007557449
0,0,0.050462402,0.9495376
0,1,0.72598827,0.2740117
0,1,0.59864545,0.40135458
0,1,0.6439133,0.35608667
0,1,0.8530061,0.14699392
0,1,0.9638914,0.036108553
0,1,0.9664024,0.03359757
0,0,0.12725078,0.8727492
0,0,0.19232364,0.8076763
0,0,0.024525626,0.9754743
0,0,0.04494777,0.95505226
0,0,0.41130355,0.5886965
0,0,0.052605387,0.9473946
0,1,0.9817399,0.01826008
0,0,0.07303965,0.9269603
0,0,0.02157766,0.9784224
0,1,0.7220134,0.27798662
0,1,0.98299384,0.017006198
0,0,0.430827,0.56917304
0,1,0.86701596,0.13298409
1,1,0.9981547,0.0018453372
1,1,0.9999641,3.5873305e-05
1,1,0.9925137,0.0074862298
1,1,0.9518361,0.048163846
1,1,0.99978966,0.00021039
1,1,0.9998982,0.00010177055
1,1,0.9273801,0.07261989
1,1,0.99996126,3.874215e-05
1,1,0.9081792,0.0918208
1,1,0.9998412,0.00015877256
1,1,0.9987748,0.0012252022
1,1,0.9276063,0.07239373
1,1,0.999997,2.9306848e-06
1,1,0.9958501,0.004149917
1,1,0.9954913,0.0045086583
1,1,0.7397438,0.26025614
1,1,0.97714007,0.022859957
1,1,0.91697127,0.08302874
1,1,0.9586848,0.041315146
1,1,0.99999607,3.918134e-06
1,1,0.89337337,0.10662667
1,1,0.99992645,7.359892e-05
1,1,0.99999976,2.707829e-07
1,1,0.9997476,0.0002524015
1,1,0.9999924,7.662394e-06
1,0,0.19592251,0.8040775
1,1,0.9997422,0.00025775537
