2025-11-07 01:58:07,039 - INFO - Iniciando entrenamiento en cuda | model=solid_fe_on_1 | seed=42 | run_id=2025-11-07_01-58-07
2025-11-07 01:58:07,081 - INFO - epoch,train_loss,train_acc,val_loss,val_acc
2025-11-07 01:58:40,845 - INFO - 1,1.8756,0.5086,0.7254,0.5161
2025-11-07 01:59:13,841 - INFO - 2,0.6563,0.6171,0.6051,0.6452
2025-11-07 01:59:46,889 - INFO - 3,0.6011,0.6914,0.5775,0.7419
2025-11-07 02:00:19,952 - INFO - 4,0.5307,0.7943,0.5869,0.6129
2025-11-07 02:00:51,366 - INFO - 5,0.4716,0.8171,0.5576,0.6774
2025-11-07 02:01:22,418 - INFO - 6,0.3946,0.8971,0.5096,0.8065
2025-11-07 02:01:55,120 - INFO - 7,0.3649,0.9029,0.4965,0.8065
2025-11-07 02:02:26,467 - INFO - 8,0.3586,0.9143,0.4654,0.8065
2025-11-07 02:02:58,935 - INFO - 9,0.3037,0.9486,0.4653,0.8387
2025-11-07 02:03:32,080 - INFO - 10,0.2966,0.9429,0.4255,0.8065
2025-11-07 02:04:04,652 - INFO - 11,0.2674,0.9771,0.4795,0.7742
2025-11-07 02:04:36,958 - INFO - 12,0.2619,0.9829,0.5549,0.8065
2025-11-07 02:05:09,752 - INFO - 13,0.2666,0.9657,0.5805,0.7742
2025-11-07 02:05:41,520 - INFO - 14,0.2386,0.9943,0.4893,0.8065
2025-11-07 02:06:13,081 - INFO - 15,0.2440,0.9886,0.5162,0.8065
2025-11-07 02:06:46,167 - INFO - 16,0.2275,1.0000,0.5290,0.8387
2025-11-07 02:07:17,504 - INFO - 17,0.2198,1.0000,0.4518,0.8065
2025-11-07 02:07:49,407 - INFO - 18,0.2256,1.0000,0.5382,0.8065
2025-11-07 02:08:21,677 - INFO - 19,0.2202,1.0000,0.5113,0.8387
2025-11-07 02:08:54,633 - INFO - 20,0.2195,1.0000,0.5381,0.8387
2025-11-07 02:09:26,977 - INFO - 21,0.2156,1.0000,0.5858,0.8065
2025-11-07 02:09:59,346 - INFO - 22,0.2182,1.0000,0.5545,0.8065
2025-11-07 02:10:31,527 - INFO - 23,0.2154,1.0000,0.5345,0.8065
2025-11-07 02:11:03,688 - INFO - 24,0.2154,1.0000,0.5642,0.8065
