Epoch 002 | TrainLoss 0.4727 Acc 0.8171 | ValLoss 0.6365 Acc 0.7097 | Best 0.7097
Epoch 003 | TrainLoss 0.4154 Acc 0.8514 | ValLoss 0.6491 Acc 0.5484 | Best 0.7097
Epoch 004 | TrainLoss 0.3833 Acc 0.9143 | ValLoss 0.5015 Acc 0.7419 | Best 0.7419
Epoch 005 | TrainLoss 0.3304 Acc 0.9200 | ValLoss 0.5561 Acc 0.7097 | Best 0.7419
Epoch 006 | TrainLoss 0.3180 Acc 0.9429 | ValLoss 0.5382 Acc 0.7097 | Best 0.7419
Epoch 007 | TrainLoss 0.2775 Acc 0.9771 | ValLoss 0.4287 Acc 0.8387 | Best 0.8387
Epoch 008 | TrainLoss 0.2466 Acc 0.9886 | ValLoss 0.5552 Acc 0.7419 | Best 0.8387
Epoch 009 | TrainLoss 0.2416 Acc 1.0000 | ValLoss 0.4540 Acc 0.8065 | Best 0.8387
Epoch 010 | TrainLoss 0.2280 Acc 1.0000 | ValLoss 0.5355 Acc 0.6774 | Best 0.8387
Epoch 011 | TrainLoss 0.2209 Acc 1.0000 | ValLoss 0.4977 Acc 0.7742 | Best 0.8387
Epoch 012 | TrainLoss 0.2158 Acc 1.0000 | ValLoss 0.4839 Acc 0.8387 | Best 0.8387
Epoch 013 | TrainLoss 0.2167 Acc 1.0000 | ValLoss 0.4757 Acc 0.7742 | Best 0.8387
Epoch 014 | TrainLoss 0.2137 Acc 1.0000 | ValLoss 0.5409 Acc 0.6452 | Best 0.8387
Epoch 015 | TrainLoss 0.2111 Acc 1.0000 | ValLoss 0.4810 Acc 0.7742 | Best 0.8387
Epoch 016 | TrainLoss 0.2093 Acc 1.0000 | ValLoss 0.5610 Acc 0.7097 | Best 0.8387
Epoch 017 | TrainLoss 0.2088 Acc 1.0000 | ValLoss 0.5046 Acc 0.7097 | Best 0.8387
Epoch 018 | TrainLoss 0.2076 Acc 1.0000 | ValLoss 0.5145 Acc 0.6774 | Best 0.8387
Epoch 019 | TrainLoss 0.2075 Acc 1.0000 | ValLoss 0.4908 Acc 0.7742 | Best 0.8387
Epoch 020 | TrainLoss 0.2077 Acc 1.0000 | ValLoss 0.5042 Acc 0.7742 | Best 0.8387
Epoch 021 | TrainLoss 0.2081 Acc 1.0000 | ValLoss 0.5092 Acc 0.6774 | Best 0.8387
Epoch 001 | TrainLoss 0.7002 Acc 0.6114 | ValLoss 0.6574 Acc 0.5806 | Best 0.5806
Epoch 002 | TrainLoss 0.5577 Acc 0.7829 | ValLoss 0.6164 Acc 0.7097 | Best 0.7097
Epoch 003 | TrainLoss 0.4891 Acc 0.8171 | ValLoss 0.5592 Acc 0.6774 | Best 0.7097
Epoch 004 | TrainLoss 0.3963 Acc 0.8971 | ValLoss 0.6213 Acc 0.6129 | Best 0.7097
Epoch 005 | TrainLoss 0.3195 Acc 0.9371 | ValLoss 0.5299 Acc 0.7742 | Best 0.7742
Epoch 006 | TrainLoss 0.3113 Acc 0.9429 | ValLoss 0.6252 Acc 0.7097 | Best 0.7742
Epoch 007 | TrainLoss 0.2815 Acc 0.9657 | ValLoss 0.4519 Acc 0.8387 | Best 0.8387
Epoch 008 | TrainLoss 0.2848 Acc 0.9829 | ValLoss 0.5491 Acc 0.8065 | Best 0.8387
Epoch 001 | TrainLoss 1.8952 Acc 0.5314 | ValLoss 0.8022 Acc 0.5806 | Best 0.5806
Epoch 002 | TrainLoss 0.6417 Acc 0.6743 | ValLoss 0.6825 Acc 0.5161 | Best 0.5806
Epoch 003 | TrainLoss 0.5796 Acc 0.7371 | ValLoss 0.7320 Acc 0.5806 | Best 0.5806
Epoch 004 | TrainLoss 0.5249 Acc 0.7771 | ValLoss 0.6955 Acc 0.5806 | Best 0.5806
Epoch 005 | TrainLoss 0.4669 Acc 0.8286 | ValLoss 0.5581 Acc 0.7097 | Best 0.7097
Epoch 006 | TrainLoss 0.4579 Acc 0.8400 | ValLoss 0.5114 Acc 0.6774 | Best 0.7097
Epoch 007 | TrainLoss 0.4392 Acc 0.8686 | ValLoss 0.5164 Acc 0.7419 | Best 0.7419
Epoch 008 | TrainLoss 0.4177 Acc 0.8629 | ValLoss 0.4813 Acc 0.8065 | Best 0.8065
Epoch 009 | TrainLoss 0.3689 Acc 0.8914 | ValLoss 0.4852 Acc 0.7742 | Best 0.8065
Epoch 010 | TrainLoss 0.3465 Acc 0.9543 | ValLoss 0.5076 Acc 0.7419 | Best 0.8065
Epoch 011 | TrainLoss 0.2871 Acc 0.9543 | ValLoss 0.4559 Acc 0.7742 | Best 0.8065
Epoch 012 | TrainLoss 0.2566 Acc 0.9714 | ValLoss 0.4370 Acc 0.8710 | Best 0.8710
Epoch 013 | TrainLoss 0.2603 Acc 0.9829 | ValLoss 0.3740 Acc 0.9032 | Best 0.9032
Epoch 014 | TrainLoss 0.2598 Acc 0.9657 | ValLoss 0.4352 Acc 0.8387 | Best 0.9032
Epoch 015 | TrainLoss 0.2431 Acc 0.9886 | ValLoss 0.4251 Acc 0.8710 | Best 0.9032
Epoch 016 | TrainLoss 0.2316 Acc 0.9943 | ValLoss 0.4082 Acc 0.8710 | Best 0.9032
Epoch 017 | TrainLoss 0.2221 Acc 1.0000 | ValLoss 0.4091 Acc 0.8387 | Best 0.9032
Epoch 018 | TrainLoss 0.2305 Acc 0.9943 | ValLoss 0.3899 Acc 0.8387 | Best 0.9032
Epoch 019 | TrainLoss 0.2259 Acc 0.9943 | ValLoss 0.3746 Acc 0.9032 | Best 0.9032
Epoch 020 | TrainLoss 0.2209 Acc 1.0000 | ValLoss 0.3741 Acc 0.8710 | Best 0.9032
Epoch 021 | TrainLoss 0.2174 Acc 1.0000 | ValLoss 0.4044 Acc 0.8710 | Best 0.9032
Epoch 022 | TrainLoss 0.2248 Acc 1.0000 | ValLoss 0.4487 Acc 0.8387 | Best 0.9032
Epoch 023 | TrainLoss 0.2138 Acc 1.0000 | ValLoss 0.5584 Acc 0.7742 | Best 0.9032
Epoch 024 | TrainLoss 0.2138 Acc 1.0000 | ValLoss 0.4451 Acc 0.8387 | Best 0.9032
Epoch 025 | TrainLoss 0.2165 Acc 1.0000 | ValLoss 0.4151 Acc 0.8387 | Best 0.9032
Epoch 026 | TrainLoss 0.2174 Acc 0.9943 | ValLoss 0.4128 Acc 0.8387 | Best 0.9032
Epoch 027 | TrainLoss 0.2145 Acc 1.0000 | ValLoss 0.4481 Acc 0.8387 | Best 0.9032
Epoch 001 | TrainLoss 0.7421 Acc 0.5371 | ValLoss 0.6691 Acc 0.6129 | Best 0.6129
Epoch 002 | TrainLoss 0.5641 Acc 0.7429 | ValLoss 0.6417 Acc 0.6774 | Best 0.6774
Epoch 003 | TrainLoss 0.4584 Acc 0.8400 | ValLoss 0.6067 Acc 0.6452 | Best 0.6774
Epoch 004 | TrainLoss 0.3885 Acc 0.8857 | ValLoss 0.5913 Acc 0.7419 | Best 0.7419
Epoch 005 | TrainLoss 0.3501 Acc 0.9086 | ValLoss 0.5174 Acc 0.7419 | Best 0.7419
Epoch 006 | TrainLoss 0.2980 Acc 0.9657 | ValLoss 0.5185 Acc 0.7742 | Best 0.7742
Epoch 007 | TrainLoss 0.2728 Acc 0.9829 | ValLoss 0.5082 Acc 0.8387 | Best 0.8387
Epoch 008 | TrainLoss 0.2464 Acc 0.9829 | ValLoss 0.5750 Acc 0.7419 | Best 0.8387
Epoch 009 | TrainLoss 0.2334 Acc 0.9943 | ValLoss 0.5623 Acc 0.6774 | Best 0.8387
Epoch 010 | TrainLoss 0.2290 Acc 0.9886 | ValLoss 0.6382 Acc 0.6774 | Best 0.8387
Epoch 011 | TrainLoss 0.2300 Acc 0.9943 | ValLoss 0.4918 Acc 0.8387 | Best 0.8387
Epoch 012 | TrainLoss 0.2302 Acc 0.9943 | ValLoss 0.5840 Acc 0.7419 | Best 0.8387
Epoch 013 | TrainLoss 0.2181 Acc 1.0000 | ValLoss 0.5089 Acc 0.8065 | Best 0.8387
Epoch 014 | TrainLoss 0.2163 Acc 1.0000 | ValLoss 0.6216 Acc 0.6774 | Best 0.8387
Epoch 015 | TrainLoss 0.2152 Acc 1.0000 | ValLoss 0.4557 Acc 0.8065 | Best 0.8387
Epoch 016 | TrainLoss 0.2138 Acc 1.0000 | ValLoss 0.5096 Acc 0.7419 | Best 0.8387
Epoch 017 | TrainLoss 0.2103 Acc 1.0000 | ValLoss 0.5042 Acc 0.7097 | Best 0.8387
Epoch 018 | TrainLoss 0.2101 Acc 1.0000 | ValLoss 0.5326 Acc 0.7419 | Best 0.8387
Epoch 019 | TrainLoss 0.2059 Acc 1.0000 | ValLoss 0.5450 Acc 0.6774 | Best 0.8387
Epoch 020 | TrainLoss 0.2103 Acc 1.0000 | ValLoss 0.4958 Acc 0.7742 | Best 0.8387
Epoch 021 | TrainLoss 0.2068 Acc 1.0000 | ValLoss 0.5068 Acc 0.7742 | Best 0.8387
Epoch 001 | TrainLoss 0.6916 Acc 0.5771 | ValLoss 0.6751 Acc 0.5484 | Best 0.5484
Epoch 002 | TrainLoss 0.5354 Acc 0.7257 | ValLoss 0.6197 Acc 0.6452 | Best 0.6452
Epoch 003 | TrainLoss 0.4531 Acc 0.8400 | ValLoss 0.5994 Acc 0.6774 | Best 0.6774
Epoch 004 | TrainLoss 0.3543 Acc 0.9086 | ValLoss 0.5328 Acc 0.8065 | Best 0.8065
Epoch 001 | TrainLoss 1.8954 Acc 0.5314 | ValLoss 0.8020 Acc 0.5806 | Best 0.5806
Epoch 002 | TrainLoss 0.6418 Acc 0.6743 | ValLoss 0.6825 Acc 0.5161 | Best 0.5806
Epoch 003 | TrainLoss 0.5796 Acc 0.7371 | ValLoss 0.7314 Acc 0.5806 | Best 0.5806
Epoch 004 | TrainLoss 0.5248 Acc 0.7714 | ValLoss 0.6958 Acc 0.5806 | Best 0.5806
Epoch 005 | TrainLoss 0.4665 Acc 0.8229 | ValLoss 0.5583 Acc 0.7097 | Best 0.7097
Epoch 006 | TrainLoss 0.4565 Acc 0.8457 | ValLoss 0.5090 Acc 0.7097 | Best 0.7097
Epoch 007 | TrainLoss 0.4389 Acc 0.8629 | ValLoss 0.5125 Acc 0.7742 | Best 0.7742
Epoch 008 | TrainLoss 0.4251 Acc 0.8686 | ValLoss 0.4854 Acc 0.8065 | Best 0.8065
Epoch 009 | TrainLoss 0.3688 Acc 0.8971 | ValLoss 0.4752 Acc 0.8065 | Best 0.8065
Epoch 010 | TrainLoss 0.3515 Acc 0.9371 | ValLoss 0.5349 Acc 0.7742 | Best 0.8065
Epoch 011 | TrainLoss 0.2886 Acc 0.9600 | ValLoss 0.4633 Acc 0.7419 | Best 0.8065
Epoch 012 | TrainLoss 0.2609 Acc 0.9714 | ValLoss 0.4131 Acc 0.8065 | Best 0.8065
Epoch 013 | TrainLoss 0.2578 Acc 0.9886 | ValLoss 0.3771 Acc 0.8710 | Best 0.8710
Epoch 014 | TrainLoss 0.2557 Acc 0.9657 | ValLoss 0.4918 Acc 0.8387 | Best 0.8710
Epoch 015 | TrainLoss 0.2587 Acc 0.9829 | ValLoss 0.4145 Acc 0.8710 | Best 0.8710
Epoch 016 | TrainLoss 0.2430 Acc 0.9943 | ValLoss 0.4351 Acc 0.8710 | Best 0.8710
Epoch 017 | TrainLoss 0.2314 Acc 0.9943 | ValLoss 0.3842 Acc 0.9032 | Best 0.9032
Epoch 018 | TrainLoss 0.2376 Acc 0.9886 | ValLoss 0.3901 Acc 0.8710 | Best 0.9032
Epoch 019 | TrainLoss 0.2295 Acc 0.9943 | ValLoss 0.4061 Acc 0.8710 | Best 0.9032
Epoch 020 | TrainLoss 0.2216 Acc 1.0000 | ValLoss 0.3933 Acc 0.8065 | Best 0.9032
Epoch 021 | TrainLoss 0.2178 Acc 1.0000 | ValLoss 0.4111 Acc 0.9032 | Best 0.9032
Epoch 022 | TrainLoss 0.2219 Acc 1.0000 | ValLoss 0.4032 Acc 0.9032 | Best 0.9032
Epoch 023 | TrainLoss 0.2135 Acc 1.0000 | ValLoss 0.4380 Acc 0.8710 | Best 0.9032
Epoch 024 | TrainLoss 0.2138 Acc 1.0000 | ValLoss 0.3787 Acc 0.8710 | Best 0.9032
Epoch 025 | TrainLoss 0.2169 Acc 1.0000 | ValLoss 0.3652 Acc 0.8710 | Best 0.9032
Epoch 026 | TrainLoss 0.2183 Acc 0.9943 | ValLoss 0.3653 Acc 0.9032 | Best 0.9032
Epoch 027 | TrainLoss 0.2145 Acc 1.0000 | ValLoss 0.3981 Acc 0.8710 | Best 0.9032
Epoch 028 | TrainLoss 0.2102 Acc 1.0000 | ValLoss 0.3997 Acc 0.8710 | Best 0.9032
Epoch 029 | TrainLoss 0.2159 Acc 1.0000 | ValLoss 0.3929 Acc 0.9032 | Best 0.9032
Epoch 030 | TrainLoss 0.2095 Acc 1.0000 | ValLoss 0.3930 Acc 0.9032 | Best 0.9032
